name|line
Lumpy Space Princess| Huh?
Banana Guard| Hey, big baby!
Lumpy Space Princess| I found you!
Sweet P|  LSP!
Lumpy Space Princess| Sweet P! I'm so sorry! I should've been sweet to you! Here, okay, um... Pat very gently on the head... Kiss on both cheeks... Mwah! Mwah! Treat. 
Sweet P| Mmm! 
Lumpy Space Princess| Uh, and sing something sweet.  ♪ Butter cakes, cupcakes, and ice cream cakes small baby bums and the friendship of puppies ♪  You are more precious than anything in this world, and I will always, always love you.
Lumpy Space Princess| Aww!
Tree Trunks| We're ho-o-me!
Lumpy Space Princess| Shh! He's asleep.
Tree Trunks| Why is Sweet P's blanket on the wall—?
Lumpy Space Princess| Shh!  Mr. and Mrs. Pig Trunks, I have some good news. Sweet P has grown so attached to me that it would be cruel for me to leave him, obviously. So... Yes, I will accept the position as your live-in nanny!
Lumpy Space Princess| Huh?
Raccoon| Partake of the chicken. 
Lumpy Space Princess| Chicken...  
Lumpy Space Princess| This is good chicken!
Tree Trunks|  Maybe we can get, uh, Neptr to sit. I don't know.
Sweet P| Mama? I had that dream again—the one where I'm a comet boy.
Tree Trunks| Oh, really?
Sweet P| Yeah, coming back to Ooo over and over, and there was a fake comet, a beard man in a spaceship.
Tree Trunks| My, what an imagination...
Sweet P| The comet... approacheth.
Jake|  Hey, man. 
Finn|  What's so funny?
Jake|  Oh, you know, just takin' this garbage bag of butter...  ...into the house. 
Finn|  Dude. That's not that funny.  EAAH!!
Jake|  HAHAHAHAHA!
Finn|  Ohhh, butter pranked! I can't believe I didn't see that coming!
Jake|  Heh, yeah, I'm a genius.
Finn|  You have offended my honor, sir, and in so doing, you have awoken the pranking demon that sleeps in my pits! The demon is coming for you, mortal. It is going to prank you... so... HARD!
Jake|  Whatever. I'm gonna take a day long nap. 
Finn|  That's right, suckah! Go nap it up, for when you awake, the pranking demon will be upon you!   Aww, man! Nothing's better than throwing a big bag of butter at someone!  Gotta think! What's... a better prank... than butter?! Answer me, book! What's better than butter?! A unicorn.  A treasure hunter!  A battleship!  A pie!  A young girl in lo—Wait! Book, rewind!  That's it! I'll throw never-ending pies at Jake's face forever! 
Finn|  It's never-ending pie-throwing time! C'mon, dude! Turn on!  Why isn't it working?!  I'll never make a prank better than Jake's garbage bag full of butter. 
Neptr|  Ouch!
Finn|  Holy stuff! It talked! Wow-cow-chow!
Neptr|  Greeting, creator!
Finn|  Oh, whoa! Hey, man!
Neptr|"  My name is Neptr, which stands for ""Never-Ending Pie-Throwing Robot."""
Finn|  Oh, perfect! You're exactly the kind of robot I was trying to make!
Neptr|  Creator, I am eager to commence the creation and propulsion of pies forever, but my pie-hucking appendage is... malfunctioning, and my oven lamp is cold, and my tank treads do not roll! They only do skids! Why, creator?!  Does it please you to watch me struggle?!
Finn|  Neptr! Don't say stuff like that! Look, I know we just met, and you're probably goin' through a lot of personal stuff right now, but I really like you, Neptr, and I'm not gonna rest until you're working properly and throwing hot pie on my best friend's face. Together, we're gonna prank the poots out of Jake!
Neptr|  Haha! I'll always love you, creator!
Finn|  I know you will, Neptr. Now, all we need is more lightning power so you can be operating at full capacity! And I think I know just the dumb-hole who we can get some from.
Neptr|  Ooh, what beautiful piles of sugar!
Finn|  Heh. No, Neptr. We call that snow.
Neptr|  Snoooow??
Finn|  UNH!  Did y'all smack me into that mountain on purpose?
Balloons|  Yeah!
Finn|  Take note, Neptr. These guys are grade-A pranksters. You guys hang out in case we need a daring escape!
One Balloon|  I got his wallet. 
Finn|  Just gotta sneak around until we find his lightning bolt stash.
Neptr|  But, creator, is not breaking and entering wrong?
Finn|  No, we're pranking and entering, which is awesome!
Neptr|  Sneaking! We're sneaking...
Finn|   Shush, Neptr!
Neptr|  Sneaking...
Finn|  Shh!
Neptr|  Sneaking...
Finn|  Neptr, you're gonna get us caught!
Neptr|  Sneaking!
Ice King|  Is that you, honey?  How was your day at work?  Terrible! How could I possibly stand to be apart from you, the Ice King?!  You see, Gunter, that's how it would go if I actually had a wife.
Penguin|  Wenk.
Ice King|  Game time!  Kill the frog! Kill the frog! C'mon! Oh, he's right in front of you! Lower! L— Stupid lady. Kill it...
Neptr|  Creator, if we get caught, I want you to know that I will always love you.
Finn|  Shh! You already told me that! And we're not getting caught! We're gonna get you working so you can prank Jake! He could wake up from his nap at any second!
Jake|  I might wake up at any moment! Naaaah, I'm still asleep.
Ice King|  No, no! That frog is casting magic missiles on my babe! 
Finn|   Quickly! While he's distracted!
Ice King|  No, c'mon, get out of the—UGH! Move!
Penguin|  Wenk!
Ice King|  Baaaugh!  This game cheats anyway!  LOOK WHAT YOU DID, GUNTER!!
Finn|  We're home free, Neptr.
Penguin|  Wenk wenk wenk wenk wenk wenk wenk!
Ice King|  What are you on about? You're starting to infuriate me... It's almost like you're trying to alert me—warn me about... I don't know, an intruder or something? Perhaps he's lurking in this very room, just outside my field of vision!
Penguin|  Wenk wenk wenk wenk.
Ice King|  Well, knock it off!!
Neptr|  What'll we do, creator?
Finn|  We're gonna prank 'im, Neptr. Hardcore.
Ice King|   Hmm. You're looking kinda fat, Gunter! Look at these arms! Fat fat fat! Daddy's little fattie! Oh, you'll never get a prom date with all that chub on your face, you know!  Ooh! Oh, blast these melty ceilings!
Finn|  Hee hee hee hee!
Neptr|  Creator, you have shown me the joys of pranking! I cannot wait to throw pies infinitely at Jake's face!
Finn|  The ceiling really is melty!  Whoa! Whoa! 
Ice King|  What was that?
Finn|  WAAAAH!
Ice Toads|  Alarm! Alarm! Alarm!
Finn|  Figs!
Ice King|  Huh? An intruder! Maybe a beautiful princess like in my poems.
Finn|  We've gotta find that lightning as fast as—
Neptr|  Creator! Lightning!
Finn|  It's a lightning-shaped door! And we're gonna smash right into it! Hold on, Neptr! I got a plan!
Neptr|  That was a great plan!
Finn|  Nah, that wasn't my plan. We got lucky!
Neptr|  Are those my tickets to the gun show, creator?
Finn|  Mm-hmm. You're gonna be fully functional just like I promised.
Ice King|  Whoa, ice-o-pede! Finn?! Oh, why can't you ever be a princess?! Ice-o-pede, attack!  Ice-o-pede, no! Aaah!
Finn|  Let's grab some lightning and get outta here!
Ice King|  Hahaha! Finish him off, my semi-loyal pet!  An innocent bystander?! ZAP!
Finn|  Neptr! NOOOOO!  NOOOOOO!—Oh, yeah. That's what we wanted to happen.
Neptr|  Neptr is fully functional! Yay! 
Finn|  Neptr! Yeah!
Ice King|  Crush him! Crush him like you crushed me!!
Neptr|  Creator?
Finn|  Neptr! The pies! Pies!
Neptr|  Oh, right!
Ice King|  Come on!
Finn|  What was in those pies?!
Neptr|  Just boysenberry. Hahaha. And also... poison.
Finn|   Neptr's acting... different.
Balloons|  Quick, Finn! Jump!
Finn|  Heh heh. You guys got me.
Ice King|   Something about that robot I tried to kill fills me with... deep longing.
Finn|  Thanks, guys. Your blood-oath is fulfilled.
Balloons|  Yay! To the mesosphere!
One Balloon|  Finally we can die!
Neptr|  I am troubled, creator. Troubled by a sudden urge to... collect princesses.
Finn|  Neptr, that's a heavy unsettling thing to say, but pull yourself together. We're about to prank Jake!
Neptr|   Uh-huh. Sure.
Finn|  One... two...
Ice King|   THREE!
Finn|  Run, Neptr!!
Neptr|  Oooh!
Finn|   Hah! Hah! Hah!  Aw, man.
Ice King|  I've come to take my son.
Finn|  Your son?!
Ice King|  Come to Papi, son. I won't attack you... unless provoked.
Finn|  He's not your son! If anything, he's my son!
Ice King|  It was my power that activated his full potential. Zzz. 
Neptr|  Oooh...
Ice King|  When you were struck by my lightening, you also became infused with my private particles. He wants to be with me, Finn!
Finn|  No way! Neptr wants to help me prank Jake!
Neptr|  I am torn! I am processing a love for both princesses and pranking!
Ice King|  Don't worry, son. I'll show you the life you deserve! 
Finn|  No! Neptr!
Ice King|  Yes! Now that we've entered my imagination zone, allow me to tantalize you with this!  Princesses! As my son, you will carry on the tradition of capturing ladies!
Neptr|  Tell me more, Papi!
Finn|  No, Neptr!
Ice King|  I want a son who can do better than I. One who can succeed where I... have failed. You can mate with robot princesses!
Neptr|  Can I still prank with Finn after?
Ice King|  NO!! I'll show you what will happen if you hang out with Finn!
Imaginary Finn & Jake|  Yeah! Pootin' on Neptr to the max!
Neptr|  Haha! Yeah, I love Finn's pranks!
Ice King|  NOOOOO!!  I'm through playing around, son. Who do you choose?
Finn|  Come on, Neptr. Choose me, buddy. Choose pranks.
Neptr|  I... uh, I... choose... Ice King!
Finn|  WHAT?! You've gotta be flippin' kidding me!
Ice King|  He made his choice! Get over it, crybaby!
Neptr|  I'm not finished. I choose Ice King... to prank! Hardcore!
Ice King|   WHHHAAAAT—  Aah! My face!  I birthed you and I can un-birth you!
Finn|  NEVER!
Ice King|  OOF! 
Neptr|  Sleep well, Papi. In your Imagination Zone full of beautiful princesses.
Finn|  You wanna prank Jake?
Neptr|  It's why I was created.
Finn|  Haha, okay. Let's gooooo!  Jake! Wake up!
Jake|   Ahhh, hey, du—AAAAAH!
Imaginary Neptr|  Sun is going down. Shall we capture princesses now, Papi?
Ice King|  No, let's just stay here a little longer, son.
Imaginary Neptr|  I love you forever, Papi.
BMO|  Haha! Take that, Master Chen!
Finn|  JAAAAKE!
Jake|  What?
Finn|  Jake, did you hide my sock?
Jake|  No, man, I told you,
Jake|  I don't do that kinda stuff anymore.
Finn|  So, what? It just magically disappeared?
Jake|  I don't know...
Jake|  Maybe.
Finn|  Is that just a cute way of saying you took it?
Jake|  No!
Finn|  Why don't you just help me find my sock?
Jake|   Oh, Finn lost his sock! Everybody stop what you're doing and help Finn find his precious sock!
BMO|   It looked like a tough case to crack. But I hate to see good friends fight.
BMO|   So I decided to take the case.
BMO|   Hmm... 
BMO|   Ronnie!
BMO|   It looked like I had a guilty mouse.
BMO|  
BMO|  Huh!
BMO|  Hello, Ronnie.
BMO|  What do you want, BMO?
BMO|  Where is Finn's sock?
BMO|  I don't know what you're talking about, BMO. I didn't do nothin'. Leave me alone!
BMO|   I knew that lipstick anywhere. 
BMO|   How is Lorraine?
BMO|  You stay away from her! She is with me now, do you hear?
BMO|  Calm down, big guy. Me and Lorraine are dinosaur bones.
BMO|  Good, 'cause I would be so jealous.
BMO|  Just tell me where the sock is, and I will let you go.
BMO|  I don't know, man.
BMO|  What if I put some knuckle in your eyeballs? Would that help you think?
BMO|  Ok! Ok! Umm...
BMO| It looks like a grape juice stain on his sock; check the pantry.
BMO|   Of course I didn't trust Ronnie, but I had no other leads.  Maybe the grape juice had some secrets to tell me. Or maybe Ronnie was just pulling my hair. 
BMO|  
BMO|   Just as I thought, not even opened. I fell right into his trap.
BMO|    Let me out, you! I'll get you! Piece of... you! Ronnie!  Officer Davis! Thank goodness. I... 
BMO|  BMO, what are you doing here?
BMO|  Looking for Finn's socks, same as you.
BMO|  We got this to under control.  Stay out of police business, or you will be the one behind bars.
BMO|    I didn't listen to that cop. I needed to find Ronnie, and I knew just the lady who could lead me to him.  She looked as beautiful as ever.
BMO|  Where is the sock, Lorraine? 
BMO|  What makes you think I know? 
BMO|  I saw your lipstick on his fur, so don't act so cute. 
BMO|  Sounds like someone's jealous, no?
BMO|  Don't count on it, Lorraine. Now tell me where Ronnie is.
BMO|  Ha! You think it was Ronnie? Maybe if he was man enough to steal a sock, I wouldn't have to spend my nights with Bebe.
BMO|  Bebe? So you're saying Bebe is man enough?
BMO|  What? No, you're putting words in my mouth. Bebe doesn't know anything about Finn's sock.
BMO|   Finn's sock? How did you know it was Finn's sock? I never said whose sock was stolen, Lorraine.
BMO|  Uh... uh... I heard it on the TV news.
BMO|  No dice, sweet beak. Officer Davis has this case under tight wraps.
BMO|  Oh, fine, Bebe stole the sock. Oh, BMO, can't you just forget about it?
BMO|   Sorry, lady, forgetting ain't in my job description. Ha ha ha!
BMO|  Does that mean you still remember... us?
BMO|  ... Hahaha! Same old Lorraine.
BMO|  Well, don't tell Ronnie about me and Bebe.  You know how he gets when he's jealous. 
BMO|   Bebe owned Bebe's, a dance club downtown.  He yells at ladies!
BMO|  Wake up, brainiac.
BMO|  BMO? Uh...uh...auh!
BMO|  Where is the sock, Bebe?
BMO|  Uh ... I don't know nothing about socks!
BMO|  Don't play dumb, Bebe!  Don't play dumb with me!
BMO|  
BMO|  I talked to Lorraine, Bebe. She sold you out, dumb dumb!
BMO|  No! She-she wouldn't do that! It wasn't me, I swear! It was Ronnie!
BMO|   Ronnie? But why?
BMO|  I don't know, man! I don't know!  Oh, Lorraine! 
BMO|   I'm gonna go wash this shmutz off my grabbers. When I get back, you better start talking sense!
BMO|    It wasn't adding up. Why would Ronnie swipe the sock? And why would Lorraine finger Bebe?  Sure, he's a dirt bag born out of a mother, but who's not?
BMO|   I don't really get it.
BMO|   Maybe it was time to cut my losses.
BMO|  Come on, Bebe, let's get you cleaned up. Bebe?
BMO|  Bebe!  Dead. This doesn't look good. I'd better hightail it!
BMO|  Huh? The cops!? It was a setup!
BMO|   Oh no!  Bang, bang! Pew, pew, pew!
Jake| Hey, has anyone seen BMO?  BMO? Where's BMO?
BMO|   Hello?
Finn|   I'm worried about BMO.
BMO|   This is real.
Jake|   BMO!
BMO|   Who's BMO?
Different BMO|  Hello. 
Neptr|  Hello? Hello? Hello? Hey, BMO. Wake up, buddy. Are you alright?
BMO|  Neptr? I feel like I got hit with a Dracula by King Kong.
Neptr|  Whoa, sorry, man. You want some pie or something?
BMO|  Sorry, I gotta run. The cops are after me. Have you seen any down here?
Neptr|  Nah, no one's been down here all day except me, you, and Ronnie.
BMO|  What?! What was Ronnie doing down here?!
Neptr|  I don't know, but now my sensors indicate that some treasure is missing ...about a sock's worth.
BMO|   That's it! That's why Ronnie took the sock To carry stolen treasure in with! He had to whack Bebe to keep him from squealing, then he pinned the rap on me.
Neptr|  Bebe's dead?
BMO|  Listen, Neptr you better lay low for awhile. I'm gonna go find Ronnie . I've got a score to settle.
Neptr|  Hey, BMO. We should hang out more. We're both robots.
BMO|  No, Neptr. I am not like you.
BMO|  Ronnie?
BMO|  Evening, BMO.
BMO|  Don't worry, buddy. You're off the hook. We know it was Ronnie who killed Bebe and snatched the treasure . We found this confession on him after the shootout.
BMO|  Hmmmmm...what about the sock?
BMO|  Forget the sock, BMO. The case is closed. Let it go, buddy. It's over.
BMO|  Maybe he was right. But I just couldn't shake the feeling that, somehow, this case had slipped right through my fingers.  Lipstick? 
BMO|  Lorraine!
BMO|  BMO?
BMO|  Get back here with that treasure, Lorraine!
BMO|  Sorry, BMO. I earned this loot. Those chumps were not framing themselves. See you around, BMO.
BMO|  Lorraine, wait! What about the sock, Lorraine?
BMO|  Oh, that old thing? I hid that where no one would ever find it in our secret, grown-up kissing spot. Remember?
BMO|  It was good to see you again, BMO . Till next time.
BMO|  Till next time, Lorraine.
Jake|  Ya see, man? That was really fun. You don't need two socks to have fun. 
Finn|  Yeah, I guess. But maybe it woulda been more fun with two socks! 
BMO|  Finn, Finn! I know where your sock is!
Finn|  Huh?
BMO|   It was in your pillow this whole time! See?
Finn|  Whoa haha!  Right on, BMO!
BMO|  Ronnie the mouse stole it, but Lorraine chicken set him up to kill Bebe, but the flatfoot busted Ronnie, and Lorraine skedaddled with the loot, but BMO solved the case!
Finn|  Yay, BMO! Yay! Yeah!
BMO|  Yay, BMO!
Finn|  Yay!
BMO|  Yay, BMO!
Jake|  Our chicken's name is Lorraine?
BMO|  She's red hot like pizza supper .
Princess Bubblegum|  In the Kingdom of Ooo there is a galaxy of flavors, but only one taste sensation is amazing enough to kill for—the Royal tart.   Royal tarts are very rare. They are only eaten at the most sacred gathering in Ooo—the annual Back-Rubbing Ceremony . The tart is so legendary that countless thieves will risk their lives for just one bite. 
Princess Bubblegum| My head will be decapitated if the tarts don't make it to the ceremony. I only trust one guy to deliver them... the Royal Tart Toter.
Finn and Jake| Whoa!
Jake| He's magnificent!
Princess Bubblegum| He used to be, but he's gone mad and old. So he can't deliver the tarts anymore. Cinnamon Bun offered to fill the position, but he's kind of... half-baked.
Cinnamon Bun| Hey Princess! Here I go!  I'm stuck.
Finn| Princess, let us deliver the tarts.
Princess Bubblegum| Are you sure Finn? This is really important.
Finn|  Princess, I have never been more sure of anything in my whole life!  I'll do anything it takes to keep you alive and safe. We won't let you down.
Princess Bubblegum| Well... I accept your offer.
Princess Bubblegum| Welcome to the Tartorium!
Finn|  Wow.  They're so beautiful.
Princess Bubblegum| No, boys. Those are the reject tarts, full of imperfections.  These are the perfect tarts...  safely packed into one of my anti-gravity tote chambers.
Finn and Jake| Tote sweet!
Princess Bubblegum| Now, I want you to tote those tarts through that tunnel.  The Royal Tart Path takes you directly to the Royal Congressional Hall in the Bad Lands. The path is really safe and well protected, but keep your eyes open for any sign of danger, okay?
Finn| Mmm hmm.
Jake| Yep.
Princess Bubblegum| Good. Now here's your map. 
Finn|  Hey Princess, what are all these bubbling chemicals all over the place?
Princess Bubblegum| That's paralyzing potion, Finn! Don't touch it. It'll paralyze you forever! 
Finn| Oh. 
Princess Bubblegum| Thank you, boys. And remember, my head is on the line! 
Jake| All right, let's hit it. 
Finn| Wait. I got a sick plan! 
Finn| Go!
Cinnamon Bun| Okay.  Bye! Bye-bye! Bye-bye! Bye!
Finn|  Goodbye! You'll be fine! Hahaha!
Jake|  Bye! Goodbye!
Jake|  Heh, that was fun, but why'd you do it?
Finn|  Look, everyone expects the tarts to on that Royal Tart Path. Cinnamon Bun will be our decoy while we take the one path no thief expect a tart toter to take the Desert of Doom!
Jake|  I guess this is it.
Finn|  Huh, not as scary as I thought it'd be.
Jake|  Yeah, man, mostly just looks empty. I mean, what thief would ever hang out here? There's nothing to steal!
Finn|  You know, I think my plan might be kinda brilliant. I mean, I'm not saying I'm the brilliant, but it's a pretty brilliant plan, I think.
Jake|  True, true. This place is perfect for toting tarts.
Finn|  Yeah, and the Back-Rubbing Ceremony is right over those mountains.  This tart tote is gonna be a total tart walk.
Jake|  Heheheh, yeah. Ohh, wait! Hold up!
Finn|  What is it?
Jake|  Shh.  It's a campfire—close by.
Finn|   Does it smell like a tart thief's campfire?
Jake|  Maybe.
Finn|  Better check it out—can't be too careful. 
Taddle|  D-d-don't burn it now, Grimby.
Grimby|  Hush.  I ain't gon' burn it.
Finn|  Crud! I was sure we'd be safe in the Desert of Doom!
Jake|  What? Whatcha sayin'?
Finn|  Those are dirty tart burglers!
Jake|  I think they're just dirty hobos.
Finn|  No, man, they are cold-blooded tart destroyers and we have to get them before they get us.
Jake|  Why?
Finn|  They're gonna kill Princess Bubblegum by stealin' our tarts!
Jake|  Oh, yeah.
Taddle|  But how come JJ gets to hold it, Grimby?
Jake|  Rawr! 
Finn|  Yeah, go on, get! We'll mash you up crazy!  You! Listen up and tell your friends the next time you wanna steal one of our tarts—!
Grimby|   You got tarts?
Finn|  You know we do! And the next time you want to steal one—!  You picture this guy right here  chewin' on your brain!  What the—?!  That thing's gettin' the tarts!
Finn|  Son of a—.
Taddle and Grimby|  We eatin' good tonight! 
Jake|  Uh-oh, man, he got, like, five or six!
Finn|  But... my brilliant plan.
Holo-Pendant|  Incoming transmission from Princess Bubblegum.
Finn|  What the—? 
Princess Bubblegum|  Hey, Finn.
Finn|   
Princess Bubblegum|  I'm just checking in using the holo-pendant. How are my tarts doing?
Finn|  They're, um... th-they're—
Jake|  They're radical! No tart problems here!
Finn|  Uhh, yeah! Right! Everything's, uh—bazoobs! Oh, look, something is eclipsing the sun. It's so dark now. 
Princess Bubblegum|  Finn? Finn! Oh, well, I'll see you soon enough!
Holo-Pendant|  Transmission complete.
Jake|  I think the plan went awry.
Finn|  No! All this was just some freak bad luck, but we still got some tarts and the princess is still safe.
Jake|  Oh, yeah, and who knows what kind of freaky things would have happened if we took the Royal Tart Path?  Heheh, old Cinnamon Bun's probably got his hands full.
Cinnamon Bun|  Bye! Goodbye! Bye-bye!
Royal Tart Path Guard 1|  Hello!
Cinnamon Bun| Hello!
Royal Tart Path Guard 1|  Shall I hold that for you, sir?
Cinnamon Bun|  Okay. 
Royal Tart Path Guard 2|  Shall I hold that for you, sir?
Royal Tart Path Guard 1|  Okay.
Royal Tart Path Guard 3|  Shall I hold that for you, sir?
Royal Tart Path Guard 2|  Okay.
Royal Tart Path Guard 4|  Shall I hold that for you, sir?
Royal Tart Path Guard 3|  Okay.
Royal Tart Path Guard 5|  Shall I hold that for you, sir?
Royal Tart Path Guard 4|  Okay.
Royal Tart Path Guard 6|  Shall I hold that for you, sir?
Royal Tart Path Guard 5|  Okay.
Royal Tart Path Guard 7|  Shall I hold that for you, sir?
Royal Tart Path Guard 6|  Okay.
Royal Tart Path Guard 8|  Shall I hold that for you, sir?
Royal Tart Path Guard 7|  Okay.
Finn|  You know what? Even though it totally wasn't our fault, it's probably for the best that we lost those tarts. 
Jake|  Huh? How?
Finn|  Well, it's like a reminder to really stay sharp and play it extra safe.
Finn|  For instance, take this scary cavern, here. No sane person would ever bring a tart down there. So...
Jake|  So no thieves!
Finn|  Exactly.
Jake|  You are on a roll today, buddy!
Finn|  P.U.!
Jake|  Yeah, P.U.!
Finn|  Jake?
Jake|  Yeah?
Finn|  Hey, man, did you just, like, sniff my butt?
Jake|  Uh, just now?
Finn|  Yeah.
Jake|  No.
Finn|  Huh. Alright.
Jake|  Hmm. Hey, Finn?
Finn|  Yeah, Jake?
Jake|  Did you just, uh, lick me—all the way up my arm?
Finn|  No.
Jake|  Hmm. Strange.
Finn|  Jake, let me see those matches.
Finn & Jake|  
Jake|  Uh-oh! Man, we got got! There's only two left!
Finn|  What?!
Holo-Pendant|  Incoming transmission from Princess Bubblegum.
Finn|  Aaaaah!
Princess Bubblegum|  Hello?
Finn|  We blew it, man! My plan sucked—it sucked all along—but I was blinded by my hubris! Now PB is gonna get got, and it's all my fault!
Jake|  Whoa, whoa, take it easy, buddy. We've still got two whole tarts left. PB is gonna be fine.
Finn|  You really think so?
Jake|  Yeah, why not?
Butterfly|  Hey! Keep off them tarts!
Finn|  Huh?
Butterfly Bandit|  I said back off of them tarts! Are you an imbecile?!
Finn|  But I—
Bandit Butterfly|  Right the bazoobs now! 
Jake|  Finn, he's got a laser gun!
Bandit Butterfly|  Yeah! That's it. Alright,  now I gotta book it to Nana's for brunch! See youse later!
Finn|  It's over. PB's gonna get croaked.
Jake|  Mmm, yeah—or... we could smash in there and stop Congress from chopping her head off.
Finn|  You're right! Jake, let's go save Princess Bubblegum!
Backrubbers|  Chop! Chop! Chop! Chop!
Finn|  NOOOOO!!!!
Finn|  Aaaaah! ... Huh?
Princess Bubblegum|  Another perfectly chopped tart!
Princess Bubblegum|  Let the annual Back-Rubbing Ceremony begin!
Finn|  Dude, they were just slicing tarts!
Jake|  And there's Cinnamon Bun over there!
Cinnamon Bun|  Hey!
Finn|  He must have delivered the decoys...
Finn and Jake|  the ones we poisoned!
Finn|  Nooo!
Finn|  Princess, don't eat that tart!
Princess Bubblegum|  Okay! Jeez, Finn, I won't eat that tart. I'll eat this other tart instead!
Finn|  No, Princess, no!
Finn|  The princess has been paralyzed!
Princess Bubblegum|  I'm not paralyzed! I'm gripped with the flavor!
Finn|  That means we must have been carrying the poisoned tarts all along!
Finn|  Yep! All part of my master plan.
Jake|  Psht! Whatever, man. Heh heh.
Princess Bubblegum|  Excuse me! What is this about poisoned tarts and alternate plans?
Finn|  I-I—alright, here it comes.  I had a brilliant plan to tote the tarts along a dangerous path, but I mucked it up.  You oughtta give this toter job to Cinnamon Bun. He's the real hero.
Cinnamon Bun|   Yeah! 
